Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103276,200.00,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,ICT Infrastructure Specific Service,Finance & Commercial Group - Modernisation Fund and Shared Services,ZAIZI LTD,103731,160337.00,E&M Devolved Admin-ICT Infrastructure Specific Service,W6 7AN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hire of Agency Staff,Enterprise & Skills Group - Better Regulation Executive (BRE),CAPITA BUSINESS SERVICES LTD,103825,-188.54,BRE Communications Programme-Hire of Agency Staff,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hire of Agency Staff,Enterprise & Skills Group - Better Regulation Executive (BRE),CAPITA BUSINESS SERVICES LTD,103825,-6.00,BRE Communications Programme-Hire of Agency Staff,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hire of Agency Staff,Enterprise & Skills Group - Better Regulation Executive (BRE),CAPITA BUSINESS SERVICES LTD,103825,6.00,BRE Communications Programme-Hire of Agency Staff,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hire of Agency Staff,Enterprise & Skills Group - Better Regulation Executive (BRE),CAPITA BUSINESS SERVICES LTD,103825,518.50,BRE Communications Programme-Hire of Agency Staff,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/08/2015,Consultancy Expenditure,Finance & Commercial Group - Information and Technology Directorate,CAPITA BUSINESS SERVICES LTD,103827,-468.55,F&C Devolved Admin-Consultancy Expenditure,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/08/2015,Consultancy Expenditure,Finance & Commercial Group - Information and Technology Directorate,CAPITA BUSINESS SERVICES LTD,103827,702.83,F&C Devolved Admin-Consultancy Expenditure,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/08/2015,Hire of Interim Managers,Finance & Commercial Group - Information and Technology Directorate,CAPITA BUSINESS SERVICES LTD,103827,1048.51,F&C Devolved Admin-Hire of Interim Managers,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/08/2015,Hire of Interim Managers,Finance & Commercial Group - Information and Technology Directorate,CAPITA BUSINESS SERVICES LTD,103827,5770.07,F&C Devolved Admin-Hire of Interim Managers,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Conference and Exhibition Services,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat",CALDER CONFERENCES LTD,104217,1507.97,PSHE Devolved Admin-Conference and Exhibition Services,LS16 6RF,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/08/2015,Professional Searches,Enterprise & Skills Group - Vocational Education Directorate,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,104260,36750.00,Employer Ownership-Professional Searches,SE1 1FY,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Learning and Dev - CS Skills,Finance & Commercial Group - Information and Technology Directorate,PENTAGON LEISURE SERVICES LTD T/A PENTAGON IT EDUCATION AGENCY,104410,995.00,F&C Devolved Admin-Learning and Dev - CS Skills,SL6 1BU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,IT Infrastructure Support,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,104711,12141.30,F&C Devolved Admin-IT Infrastructure Support,CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,IT Infrastructure Support,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,104714,12141.30,F&C Devolved Admin-IT Infrastructure Support,CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,IT Infrastructure Support,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,104716,12141.30,F&C Devolved Admin-IT Infrastructure Support,CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Catering Supplies,Finance & Commercial Group - Estates,BAXTERSTOREY LTD,104929,67123.00,F&C Devolved Admin-Catering Supplies,RG6 1PT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105106,1037.32,Global Partnership Fund-Other Travel,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105107,1120.49,U.S. - International Scholarships - Fulbright and Others-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105110,33.45,Global Partnership Fund-Other Travel,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105111,6.45,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105112,130.22,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105115,55.19,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105119,58.04,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105122,16.60,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105124,12.72,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105126,12.46,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105127,24.51,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105128,12.69,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105129,47.16,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105130,165.11,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105131,171.49,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105132,3.58,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2015,Business Management Advice,Finance & Commercial Group - Information and Technology Directorate,LEXISNEXIS (A DIVISION OF REED ELSEVIER (UK) LTD),105133,5000.00,F&C Devolved Admin-Business Management Advice,SM2 5AS,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105139,9.64,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105140,18.53,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105141,26.00,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,IT Infrastructure Support,Finance & Commercial Group - Information and Technology Directorate,FIVIUM LTD,105159,23281.00,F&C Devolved Admin-IT Infrastructure Support,W1F 7LD,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105166,15.35,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105168,20.00,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105169,30.00,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105170,21.00,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105171,9.09,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105172,15.00,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105173,535.19,Global Partnership Fund-Other Travel,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105174,2370.00,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105175,251.34,U.S. - International Scholarships - Fulbright and Others-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),105177,191.60,U.S. - International Scholarships - Fulbright and Others-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,
