Department,Entity,Payment Date,Expense Area,Expense Type,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,07/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,303335,Fiscal asset under construction - capital in year addition,425593.20
Ministry of Defence,Ministry of Defence,17/02/2014,HO+CS,"Adminstration, claims, compensation and awards",COMMONWEALTH WAR GRAVES COMMISSION,SL6 7DX,306463,Grant in aid commonwealth war graves commission,423997.00
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,CARILLIONENTERPRISE LIMITED,WV1 4HY,309591,Fiscal asset under construction - capital in year addition,421699.29
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Equipment support project costs,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,310078,Equipment support project costs,414400.39
Ministry of Defence,Ministry of Defence,18/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,307379,Fiscal asset under construction - capital in year addition,414221.92
Ministry of Defence,Ministry of Defence,04/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,PRIDE (SERP) LTD,GU11 2ER,302090,Fiscal asset under construction - capital in year addition,411600.00
Ministry of Defence,Ministry of Defence,06/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,302756,Utilities consumed - gas,399728.28
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Estate management,SERCO LIMITED,RG27 9UY,305150,Estate + facilities management services - accommodation inventory + service,395543.33
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,Development costs for military equipment,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,302877,Intangible fiscal asset  - in year capital addition,391040.00
Ministry of Defence,Ministry of Defence,24/02/2014,Land Forces,Fees for professional services,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,309171,Fees for professional services excluding legal fees,385474.82
Ministry of Defence,Ministry of Defence,19/02/2014,HO+CS,Estate management,IBM UNITED KINGDOM LIMITED,PO6 3AE,307603,Advice on business solutions covering communications and information systems/services including strategic studies and development of specific projects,384251.00
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Development costs for military equipment,SYSTEMS CONSULTANTS SERVICES  LIMITED,RG7 4SA,310460,Intangible single use military equipment asset  - in year capital addition,383637.72
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Estate management,SERCO LIMITED,RG27 9UY,305700,Estate + facilities management services - accommodation inventory + service,382695.69
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Property leases,COVESEA LIMITED,EH2 2PJ,309613,Property dwellings private finance initiative - service concession arrangement service charge,381356.63
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Spend on Inventory - General,SOMERS FORGE LTD,B62 8DZ,309380,Spend on Inventory - General,378957.60
Ministry of Defence,Ministry of Defence,06/02/2014,DEFENCE INFRASTRUCTURE,Estate management,DEPARTMENT OF ENERGY AND CLIMATE CHANGE,YO1 7PX,302776,Works - estate management,377582.13
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,EUROCOPTER UK LIMITED,OX5 1QZ,308480,Equipment support project costs,377396.80
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Estate management,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,305764,Works - estate management,375242.26
Ministry of Defence,Ministry of Defence,28/02/2014,Land Forces,"Transportation of personnel, freight and travel expenses",AGILITY LOGISTICS LIMITED,RG1 2LG,311147,Movement of service personnel,374999.50
Ministry of Defence,Ministry of Defence,19/02/2014,JFC,Administration,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,NW9 5BA,307486,General administration,372320.75
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,AIRTRICITY GAS SUPPLY (NI) LIMITED,BT3 9ED,180521,Utilities consumed - gas,368166.42
Ministry of Defence,Ministry of Defence,10/02/2014,DEFENCE INFRASTRUCTURE,Property leases,T.G. POWER LTD,G51 3EQ,304160,Property non dwellings private finance initiative - service concession arrangement service charge,366475.72
Ministry of Defence,Ministry of Defence,11/02/2014,Air Command,Design services and minor equipment purchases,M-INTEGRATED SOLUTIONS PLC,TW8 9LY,304496,Equipment support non-project costs,355379.25
Ministry of Defence,Ministry of Defence,28/02/2014,Land Forces,Externally delivered education and training,WILTSHIRE AND SOMERSET  COLLEGES PARTNERSHIP LIMITED,DT11 8PL,311710,External military training ,350527.42
Ministry of Defence,Ministry of Defence,03/02/2014,Land Forces,Administration,HAMPSHIRE COUNTY COUNCIL,SO23 8UB,301529,General administration,350000.00
Ministry of Defence,Ministry of Defence,17/02/2014,DEFENCE INFRASTRUCTURE,Equipment support non-project costs,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,306464,Estate + facilities management services - accommodation inventory + service,349423.55
Ministry of Defence,Ministry of Defence,20/02/2014,Land Forces,Externally delivered education and training,RED SNAPPER RECRUITMENT LIMITED,RG21 7GP,308226,External military training ,348253.14
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,DYTECNA ENGINEERING LIMITED,PO14 4LW,310732,Equipment support project costs,345222.32
Ministry of Defence,Ministry of Defence,10/02/2014,DEFENCE INFRASTRUCTURE,Estate management,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,304179,Works - estate management,342220.62
Ministry Of Defence,CIPF CA,11/02/2014,Payment of utilities,Utilities consumed - electricity,GIBRALTAR ELECTRICAL AUTHORITY,,CO00013,Payment of utilities,"339,847.36"
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,309450,Fiscal asset under construction - capital in year addition,339256.64
Ministry Of Defence,CIPF CA,11/02/2014,Medical treatment & stores and welfare services,Medical health services,Hospital Britanico,,37301,Medical treatment & stores and welfare services,"338,981.73"
Ministry of Defence,Ministry of Defence,28/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,SSE ENERGY SUPPLY LIMITED,PO9 5DD,311631,Utilities consumed - electricity,338510.66
Ministry of Defence,Ministry of Defence,26/02/2014,Land Forces,Externally delivered education and training,BABCOCK TRAINING LIMITED,PO6 3EN,180711,External military training ,335193.90
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Fuel for military use,CERTAS ENERGY UK LIMITED,WA3 6XG,180719,Cost of ground diesel fuel consumed,326421.25
Ministry of Defence,Ministry of Defence,05/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,BAE SYSTEMS INTEGRATED SYSTEM TECHNOLOGIES LIMITED,CM1 1QW,302213,Equipment support non-project costs,323556.00
Ministry of Defence,Ministry of Defence,11/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,CARILLIONENTERPRISE LIMITED,B75 7RL,304302,Fiscal asset under construction - capital in year addition,323057.41
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,PRIDE (SERP) LTD,GU11 2ER,310382,Fiscal asset under construction - capital in year addition,322648.09
Ministry of Defence,Ministry of Defence,06/02/2014,HO+CS,Fees for professional services,TNT UK LIMITED,BL0 9AR,303151,Fees for professional services excluding legal fees,320127.99
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,Estate management,INTERSERVE (DEFENCE) LTD,BS32 4NH,309139,Works services - excluding United States forces/NATO + married quarters,318294.59
Ministry of Defence,Ministry of Defence,21/02/2014,Land Forces,Estate management,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,308513,Estate + facilities management services - accommodation inventory + service,318183.49
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,Spend on Inventory - General,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,308369,Spend on Inventory - General,315863.03
Ministry of Defence,Ministry of Defence,25/02/2014,Land Forces,"Transportation of personnel, freight and travel expenses",AGILITY LOGISTICS LIMITED,RG1 2LG,309512,Movement of service personnel,315215.79
Ministry of Defence,Ministry of Defence,20/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,SSE ENERGY SUPPLY LIMITED,PO9 5DD,308269,Utilities consumed - electricity,314439.09
Ministry of Defence,Ministry of Defence,03/02/2014,DEFENCE INFRASTRUCTURE,Fees for professional services,URS INFRASTRUCTURE & ENVIRONMENT UK LIMITED,RG21 7PP,301847,Fees for professional services excluding legal fees,311986.45
Ministry of Defence,Ministry of Defence,13/02/2014,Air Command,Design services and minor equipment purchases,SERCO LIMITED,RG27 9UY,305700,Equipment support non-project costs,311606.40
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,Property leases,BANNOCKBURN HOMES LIMITED,EH2 1DF,308903,Property dwellings private finance initiative - service concession arrangement service charge,304087.01
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,ASPIRE DEFENCE LIMITED,SP9 7QD,305292,Fiscal asset under construction - capital in year addition,302726.90
Ministry of Defence,Ministry of Defence,28/02/2014,JFC,Purchase of inventory and services ,TRIUMPH FURNITURE LIMITED,CF48 1YH,311675,Building maintenance accommodation inventory,302681.01
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Estate management,SERCO LIMITED,RG27 9UY,311023,Estate + facilities management services - accommodation inventory + service,297635.31
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Purchase of buildings and military equipment ,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,310017,Fiscal asset under construction - capital in year addition,296947.48
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,310648,Cost of food services,293854.90
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,Purchase of buildings and military equipment ,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,307972,Fiscal asset under construction - capital in year addition,290938.72
Ministry of Defence,Ministry of Defence,19/02/2014,Land Forces,Design services and minor equipment purchases,AUTOMOBILE ASSOCIATION DEVELOPMENTS LTD,RG21 4EA,180622,Equipment support project costs,290084.62
Ministry of Defence,Ministry of Defence,07/02/2014,HO+CS,Administration,H M REVENUE & CUSTOMS,BN12 4XH,303392,General administration,289858.00
Ministry of Defence,Ministry of Defence,04/02/2014,HO+CS,International contributions,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018288,Defence military assistance fund international subscriptions and other payments,287000.00
Ministry of Defence,Ministry of Defence,14/02/2014,Navy Command,Grants to NDPBs,THE NATIONAL MUSEUM OF THE ROYAL NAVY,PO1 3NH,306291,Operating costs grant in aid for the National Museum Royal Navy,285417.45
Ministry of Defence,Ministry of Defence,06/02/2014,Land Forces,Grants to NDPBs,NATIONAL ARMY MUSEUM,SW3 4HT,302975,Operating costs grant in aid to the National Army museum,285000.00
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,305764,Fiscal asset under construction - capital in year addition,279896.47
Ministry of Defence,Ministry of Defence,17/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,ARAMARK LTD,LS16 6QY,306379,Cost of food services,277789.55
Ministry of Defence,Ministry of Defence,17/02/2014,Navy Command,"Public relations, including marketing and advertising",GROUPM UK LIMITED,WC1X 8RX,306556,Public relations services including items such as sales marketing and advertising,274602.00
Ministry of Defence,Ministry of Defence,05/02/2014,Land Forces,Payment of utilities,CERTAS ENERGY UK LIMITED,FK5 4RB,302254,Utilities consumed - heating oil,273627.78
Ministry of Defence,Ministry of Defence,20/02/2014,Air Command,Fuel for military use,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000021402,Aviation fuel casual uplift consumed,272978.78
Ministry of Defence,Ministry of Defence,13/02/2014,Land Forces,Fees for professional services,CAPITA BUSINESS SERVICES LTD,DL1 9HN,305357,Fees for professional services excluding legal fees,271522.14
Ministry of Defence,Ministry of Defence,19/02/2014,Land Forces,"Transportation of personnel, freight and travel expenses",AGILITY LOGISTICS LIMITED,RG1 2LG,307434,Movement of service personnel,267744.28
Ministry of Defence,Ministry of Defence,10/02/2014,Land Forces,Payment of utilities,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,303886,Utilities consumed - electricity,267146.15
Ministry of Defence,Ministry of Defence,04/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,POLAR SHIP INVEST II AS,N5809,3000010084,Equipment support non-project costs,266600.00
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Estate management,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,309917,Works - estate management,262278.07
Ministry of Defence,Ministry of Defence,10/02/2014,DEFENCE INFRASTRUCTURE,Estate management,ARAMARK LTD,LS16 6QY,303772,Estate + facilities management services - accommodation inventory + service,259944.34
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Rent and rates,ALDERSHOT HEALTHCARE INVESTMENTS LIMITED,GU1 2AB,309518,Rent land - non civil estate property + married quarter property,258667.79
Ministry of Defence,Ministry of Defence,11/02/2014,Air Command,Fuel for military use,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000021292,Aviation fuel casual uplift consumed,258315.00
Ministry of Defence,Ministry of Defence,14/02/2014,DEFENCE INFRASTRUCTURE,Property leases,TRICOMM HOUSING (PORTSMOUTH) LIMITED,EH3 7HL,306303,Property dwellings private finance initiative - service concession arrangement service charge,258015.80
Ministry of Defence,Ministry of Defence,04/02/2014,DEFENCE INFRASTRUCTURE,Estate management,INTERSERVE (DEFENCE) LTD,BS32 4NH,302000,Works services - excluding United States forces/NATO + married quarters,255080.18
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Spend on Inventory - General,BABCOCK INTERNATIONAL GROUP PLC,KY11 2YD,303250,Spend on Inventory - General,252896.63
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Spend on Inventory - General,COLPRO (UK) LIMITED,NR7 0TA,180481,Spend on Inventory - General,252303.34
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,FLOGAS BRITAIN LIMITED,LE7 1PF,310139,Utilities consumed - liquid petroleum gas,251582.59
Ministry of Defence,Ministry of Defence,06/02/2014,Navy Command,"Public relations, including marketing and advertising",ENGINE PARTNERS LTD,W1W 7RT,302828,Public relations services including items such as sales marketing and advertising,250346.01
