Department family,Entity,Date,Expense type,Expense area,Description,Supplier,Transaction No,Amount
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,-1118.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,7109.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,-9949.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,1528.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,-391055.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,12856.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,10074.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,-1547.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,-29531.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,29531.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,-12697.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,395974.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,29531.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,391055.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,9949.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,-1528.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ellowes Hall Sports College,PAYBACSAUTO224111,12697.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Elliston Primary Academy,PAYBACSAUTO224112,3849.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Elliston Primary Academy,PAYBACSAUTO224112,100431.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Elliston Primary Academy,PAYBACSAUTO224112,8570.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Elliston Primary Academy,PAYBACSAUTO224112,-1559.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Emslie Morgan AP Academy,PAYBACSAUTO224113,53772.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Emslie Morgan AP Academy,PAYBACSAUTO224113,3529.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Flying High Trust - Ernehale Junior,PAYBACSAUTO230286,63999.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Flying High Trust - Ernehale Junior,PAYBACSAUTO230286,-1330.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Flying High Trust - Ernehale Junior,PAYBACSAUTO230286,2852.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Flying High Trust - Ernehale Junior,PAYBACSAUTO230286,8384.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Field View Primary School,PAYBACSAUTO224190,-4670.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Field View Primary School,PAYBACSAUTO224190,-10372.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Field View Primary School,PAYBACSAUTO224190,-138125.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Field View Primary School,PAYBACSAUTO224190,139862.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Field View Primary School,PAYBACSAUTO224190,4729.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Field View Primary School,PAYBACSAUTO224190,10502.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Field View Primary School,PAYBACSAUTO224190,138125.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Field View Primary School,PAYBACSAUTO224190,4670.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Field View Primary School,PAYBACSAUTO224190,10372.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The FitzWimarc School Academy Trust,PAYBACSAUTO224114,12603.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The FitzWimarc School Academy Trust,PAYBACSAUTO224114,15868.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The FitzWimarc School Academy Trust,PAYBACSAUTO224114,504140.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Forest Academy,PAYBACSAUTO224191,6500.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Forest Academy,PAYBACSAUTO224191,3698.00 
