Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,PO Line discription,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,ERS-521013-89004,96713,MENTAL HEALTH NETWORKS,BA1 3QE,,Programme,PUBLIC,,GB654912228
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-521014-89006,74938,PRIMARY CARE NETWORKS,LE5 4QF,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-521015-88985,75256,PRIMARY CARE NETWORKS,CB2 2QQ,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-521016-88982,71952,PRIMARY CARE NETWORKS,L12 2AP,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,WESTERN SUSSEX NHS FOUNDATION TRUST,ERS-521017-89012,75256,PRIMARY CARE NETWORKS,PO19 6SE,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-521018-88986,75694,PRIMARY CARE NETWORKS,EX2 5DW,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,ST GEORGE'S HEALTHCARE NHS TRUST,ERS-521019-88989,119296,STROKE NETWORKS,SW17 0QT,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-521020-88999,114153,STROKE NETWORKS,NW1 2BX,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,ERS-521021-88993,117582,STROKE NETWORKS,ST2 8LD,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-521022-88981,114001,STROKE NETWORKS,WF3 1WE,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,HAFS-17109,800000,,PE30 4ET,,Other,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Outsourcing Contract,DG: SFNHS,COPYRIGHT LICENSING AGENCY,11510,1706472,Copyright licence for the NHS April 2014 to March 2015,W1P 0LP,,Programme,SME,,GB386463025
Department of Health,Department of Health,28/05/2014,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90163795,42680,business support,GU21 6QX,,Programme,LARGE,,GB900540375
Department of Health,Department of Health,28/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,QISMET,ERS-520974-88961,45000,2012-13 IESD - QISMET - Project: The crucial years - to sustainability and beyond - AIMS 1760419,BA1 5BD,,Other,VCS,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-520931-88924,73325.41,HTA Researcher Lead,BS8 1TH,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-520939-88926,41986.98,NIHR Fellowships,SE1 8WA,,Programme,PUBLIC,,GB627403551
Department of Health,Department of Health,28/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ADDACTION,ERS-520965-88941,39540,Addaction - AIMS REF 2581182 - 3 Year Grant,EC1M 6PU,,Other,VCS,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-521077-89024,20833,Experimental Cancer Medicine Centres,CB2 2QQ,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-521077-89024,16256.51,HTA Customer Priority Research,CB2 2QQ,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-521095-89026,8333,Experimental Cancer Medicine Centres,S5 7AU,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-521095-89026,352840,CLAHRCs,S5 7AU,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-521107-89021,75143.34,HTA Commissioned Research,BS99 1YF,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-521107-89021,9528.99,HTA Commissioned Research,BS99 1YF,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Outsourcing Contract,DG: SCLGCP,SUSSEX POLICE AUTHORITY,1800032858,76500,Street triage project funding - tranche 2 2014-15,BN7 2DZ,,Programme,PUBLIC,,GB193631452
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-521076-89044,55495,Cancer - Prostate,BS8 1TH,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-521076-89044,1152.93,HTA Researcher Lead,BS8 1TH,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY OF,ERS-521078-89045,35087,Cancer - Prostate,CB2 1TN,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY OF,ERS-521078-89045,4262.17,HTA Researcher Lead,CB2 1TN,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY OF,ERS-521078-89045,35057,HTA Commissioned Research,CB2 1TN,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,DUNDEE UNIVERSITY OF,ERS-521081-89046,42503.81,HTA Commissioned Research,DD1 4HN,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,DUNDEE UNIVERSITY OF,ERS-521081-89046,3206.88,HTA Researcher Lead,DD1 4HN,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521089-89049,30830.47,HTA Commissioned Research,LS2 9JT,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521089-89049,1724.13,EME - ( NETSCC ),LS2 9JT,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521092-89051,2397.57,HTA Commissioned Research,OX1 2XN,,Programme,PUBLIC,,GB195275334
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521092-89051,2568.5,HTA Researcher Lead,OX1 2XN,,Programme,PUBLIC,,GB195275334
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521092-89051,51245,Cancer - Prostate,OX1 2XN,,Programme,PUBLIC,,GB195275334
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521103-89050,154698.76,HTA Commissioned Research,WC1E 6BT,,Programme,PUBLIC,,GB524371168
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521103-89050,790.63,HTA Commissioned Research,WC1E 6BT,,Programme,PUBLIC,,GB524371168
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521103-89050,24108,HTA Researcher Lead,WC1E 6BT,,Programme,PUBLIC,,GB524371168
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521103-89050,6353.5,Targeted Capacity Building,WC1E 6BT,,Programme,PUBLIC,,GB524371168
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,WARWICK UNIVERSITY OF,ERS-521110-89055,11052.77,HTA Researcher Lead,CV4 7AL,,Programme,PUBLIC,,
Department of Health,Department of Health,29/05/2014,Research & development,DG: RDD,WARWICK UNIVERSITY OF,ERS-521110-89055,31347.89,HTA Researcher Lead,CV4 7AL,,Programme,PUBLIC,,
Department of Health,Department of Health,30/05/2014,Outsourcing Contract,DG: SFNHS,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12666939,66672,Transition of eContract solution from DH to HSCIC - on behalf of NHS England,WF3 1WE,,Admin,PUBLIC,,
Department of Health,Department of Health,30/05/2014,Professional fees,DG: SCLGCP,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,4810002496,60000,Regional Mental Health Act Approval Panels :Panel 1 period of 01-04-14 to 31-03-2015,TS6 0SZ,,Admin,PUBLIC,,
Department of Health,Department of Health,30/05/2014,Outsourcing Contract,DG: SFNHS,PHARMACEUTICAL SERVICES NEGOTIATING COMMITTEE,MS13-14Q2/MD/RW,28417.06,Provision of services related to the margin survey - to investigate the level of margin achieved by community pharmacies in 2013/14.,HP20 2PJ,,Programme,SME,,
Department of Health,Department of Health,30/05/2014,Outsourcing Contract,DG: SFNHS,PHARMACEUTICAL SERVICES NEGOTIATING COMMITTEE,MS13-14,3357.34,Provision of services related to the margin survey - to investigate the level of margin achieved by community pharmacies in 2013/14.,HP20 2PJ,,Programme,SME,,
Department of Health,Department of Health,30/05/2014,Outsourcing Contract,DG: SFNHS,PHARMACEUTICAL SERVICES NEGOTIATING COMMITTEE,MS13-14,25059.72,Provision of services related to the margin survey - to investigate the level of margin achieved by community pharmacies in 2013/14 H2 (Jan to Jun 2014).,HP20 2PJ,,Programme,SME,,
Department of Health,Department of Health,30/05/2014,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR HEALTH LTD,ERS-521185-89061,532000,2013/002 - Skills for Health Ltd - project: Workforce development project- policy grant ,,,Programme,PUBLIC,,
Department of Health,Department of Health,30/05/2014,Research & development,DG: RDD,QUANTUMDX GROUP LTD,DH10/LS-1010-10014,84592,Invention for Innovation,CR8 4EJ,,Programme,SME,,
Department of Health,Department of Health,30/05/2014,IT minor costs non capital,DG: GOAD,INSIGHT DIRECT UK LTD,1852502,39207.84,Widescreen Monitors for Wellington House - Grd and 7th Floor. (Qty 270),M5 3NN,,Admin,LARGE,,
Department of Health,Department of Health,30/05/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584159108,232058.4,Microsoft Server licence fees for CMU infrastructure,NW1 3HG,,Admin,LARGE,,GB232327983
Department of Health,Department of Health,30/05/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584159318,33298.3,NTDA PPR0215-2 Hosting SQL Server Database Enviroment,WS11 0JA,,Admin,LARGE,,GB232327983
Department of Health,Department of Health,30/05/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584159323,20856,WR0303 WAN / LAN Replacement Project,WS11 0JA,,Admin,LARGE,,GB232327983
Department of Health,Department of Health,30/05/2014,Outsourcing Contract,DG: SCLGCP,CITY UNIVERSITY,90300946,41824,My Home Life/City University - supporting sustainable improvements in community engagement in care homes,EC1V 0HB,,Programme,PUBLIC,,
