Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,Vat Registration Num,Description,Expenditure Type,Contract Number
Department of Health,Department of Health,23/02/2012,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,NHS SHARED BUSINESS SERVICES (SBS),PUBLIC,WF3 1WE,100007454," 90,833.33 ",,NHS SBS charges for BMS Support & Development Service 1 Apr 2011 - 31 Mar 2012,Admin,
Department of Health,Department of Health,23/02/2012,Outsourcing Contract,Health Improvement & Protection,OFFICE FOR NATIONAL STATISTICS ONS,PUBLIC,NP10 8XG,1024123," 110,000.00 ",, To collect data on smoking prevalence to enable local areas to plan tobacco control strategies  based on current data for 2011/2012.,Programme,
Department of Health,Department of Health,23/02/2012,Library services,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739612," 193,258.80 ",,Bowel cancer campaign - national newspaper advertising ,Programme,
Department of Health,Department of Health,23/02/2012,Outsourcing Contract,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,90162580," 214,984.36 ",,Research Project,Programme,
Department of Health,Department of Health,23/02/2012,Outsourcing Contract,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,90162579," 1,419,998.83 ",,Research Project,Programme,
Department of Health,Department of Health,23/02/2012,Programme Capital Grant in AID to ENDPBs,Health Improvement & Protection,HEALTH PROTECTION AGENCY (HPA),PUBLIC,SP4 0JG,HPA FUNDING CAPITAL FEB 2012," 3,000,000.00 ",,Health Protection Agency (HPA) Grant In Aid (GIA) Capital Costs Drawdown for 2011/12.,Other,
Department of Health,Department of Health,23/02/2012,Programme Revenue Grant in Aid to ENDPBs,Health Improvement & Protection,HEALTH PROTECTION AGENCY (HPA),PUBLIC,SP4 0JG,HPA FUNDING ADMIN FEB 2012," 6,500,000.00 ",,Health Protection Agency (HPA) Grant In Aid (GIA) Revenue costs Drawdown for 2011/12.,Other,
Department of Health,Department of Health,23/02/2012,Admin Revenue Grant-in-Aid ENDPBs,Health Improvement & Protection,HEALTH PROTECTION AGENCY (HPA),PUBLIC,SP4 0JG,HPA FUNDING ADMIN FEB 2012," 8,500,000.00 ",,Health Protection Agency (HPA) Grant In Aid (GIA) Revenue (Admin) costs 2011/12.,Admin,
Department of Health,Department of Health,24/02/2012,Research & development,Research & Development,CARDIFF UNIVERSITY,PUBLIC,CF24 0DE,ERS-453575-56030," 25,916.00 ",,Research Project,Programme,
Department of Health,Department of Health,24/02/2012,Fruit for Schools,Health Improvement & Protection,Peacheys Catering services Ltd,,,NHS0112-306," 27,898.94 ",,,,
Department of Health,Department of Health,24/02/2012,Grants to local authorities (CUR),NHS FINANCE PERFORMANCE & OPERATIONS,LANCASHIRE COUNTY COUNCIL,PUBLIC,PR1 0LD,ERS-453554-56001," 30,000.00 ",,"DH addtional WHHP grant to Lancashire ""Warmer Homes, Better Health"" ",Programme,
Department of Health,Department of Health,24/02/2012,Fruit for Schools,Health Improvement & Protection,Peacheys Catering services Ltd,,,NHS0112-316," 30,190.81 ",,,,
Department of Health,Department of Health,24/02/2012,Fruit for Schools,Health Improvement & Protection,Peacheys Catering services Ltd,,,NHS0112-845," 30,726.20 ",,,,
Department of Health,Department of Health,24/02/2012,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-453574-56032," 32,250.00 ",,Research Project,Programme,
Department of Health,Department of Health,24/02/2012,Research & development,Research & Development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-453566-56027," 32,708.33 ",,Research Project,Programme,
Department of Health,Department of Health,24/02/2012,Research & development,Research & Development,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,ERS-453570-56029," 40,035.00 ",,Research Project,Programme,
Department of Health,Department of Health,24/02/2012,Fruit for Schools,Health Improvement & Protection,Peacheys Catering services Ltd,,,NHS0112-938," 48,084.64 ",,,,
Department of Health,Department of Health,24/02/2012,Computer Maintenance,INFORMATICS,PROBRAND LTD,,,14448965," 48,270.10 ",,,,
Department of Health,Department of Health,24/02/2012,Research & development,Research & Development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-453569-56022," 58,424.00 ",,Research Project,Programme,
Department of Health,Department of Health,24/02/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON (UCL),PUBLIC,WC1E 6BT,ERS-453579-56033," 60,000.00 ",,Research Project,Programme,
Department of Health,Department of Health,24/02/2012,Fruit for Schools,Health Improvement & Protection,Peacheys Catering services Ltd,,,NHS0112-935," 61,195.23 ",,,,
Department of Health,Department of Health,24/02/2012,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606088," 64,118.25 ",,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,
Department of Health,Department of Health,24/02/2012,Fruit for Schools,Health Improvement & Protection,Peacheys Catering services Ltd,,,NHS0112-936," 72,470.33 ",,,,
Department of Health,Department of Health,24/02/2012,Printing,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739629," 84,229.00 ",,Change4Life Your Drinking and You - rework and print,Programme,
Department of Health,Department of Health,24/02/2012,Computer Maintenance,INFORMATICS,PROBRAND LTD,,,14448964," 103,020.57 ",,,,
Department of Health,Department of Health,24/02/2012,Fruit for Schools,Health Improvement & Protection,Peacheys Catering services Ltd,,,NHS0112-886," 106,889.54 ",,,,
Department of Health,Department of Health,24/02/2012,Fruit for Schools,Health Improvement & Protection,Peacheys Catering services Ltd,,,NHS0112-881," 113,174.93 ",,,,
Department of Health,Department of Health,24/02/2012,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-453573-56031," 129,198.00 ",,Research Project,Programme,
Department of Health,Department of Health,24/02/2012,External Consultancy Fees,INFORMATICS,ERNST & YOUNG LLP,,,14417560," 164,229.57 ",,,,
Department of Health,Department of Health,24/02/2012,Outsourcing Contract,WORKFORCE,CARDIFF UNIVERSITY,PUBLIC,CF24 0DE,1031117," 200,000.00 ",,11-12 running costs for UK Foundation Programme Office,Programme,
Department of Health,Department of Health,24/02/2012,Outsourcing Contract,Research & Development,CAPGEMINI UK PLC,LARGE,GU21 6DB,2.60E+13," 240,000.00 ",,Research Project,Programme,
Department of Health,Department of Health,24/02/2012,Outsourcing Contract,Research & Development,CAPGEMINI UK PLC,LARGE,GU21 6DB,2.60E+13," 298,410.00 ",,Research Project,Programme,
Department of Health,Department of Health,24/02/2012,Other programme expenditure,"PSF POLICY, STRATEGY & FINANCE",FUTUREBUILDERS ENGLAND FUND MANAGEMENT LTD,SME,EC4A 3AE,CHAPS24/2/12," 644,721.00 ",,,Programme,
Department of Health,Department of Health,24/02/2012,Service charge,INFORMATICS,ATOS ORIGIN IT SERVICES UK LTD,LARGE,WS11 0JA,5584100489," 1,231,892.14 ",,Revenue: Choose & Book Extension 16 December 11 to 31 March 2012,Programme,
Department of Health,Department of Health,27/02/2012,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 1,689.07 ",,"Premier House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - Cleaning - £1,689.07 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 2,631.76 ",,"Premier House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - Bldg Maintenance - £2,631.76 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 4,079.89 ",,"DH Accomm. Central Servs - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - FM - £4,079.89 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 6,968.16 ",,"Wellington House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - FM - £6,968.16 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 7,999.55 ",,"Premier House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - Security - £7,999.55 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 9,728.81 ",,"Skipton House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - FM - £9,728.81mthly",Admin,
Department of Health,Department of Health,27/02/2012,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 13,028.68 ",,"Wellington House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - Cleaning - £13,028.68 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 14,148.88 ",,"Richmond House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - FM - £14,148.88 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 18,545.45 ",,"Wellington House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - Security - £18,545.45 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 19,048.70 ",,"Skipton House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 Security - £19,048.70 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 19,251.42 ",,"Skipton House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 Cleaning - £19,251.42 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 24,547.48 ",,"Wellington House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - Bldg Maintenance - £24,547.48 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 27,299.10 ",,"Richmond House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - Cleaning - £27,299.10 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",OXFORD UNIVERSITY,PUBLIC,OX1 2JD,RTHP0/20083262," 33,000.00 ",,Funding for 11/12 for the Centre for Health Economics,Programme,
Department of Health,Department of Health,27/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",OXFORD UNIVERSITY,PUBLIC,OX1 2JD,RTHP0/20083264," 33,000.00 ",,Funding for 11/12 for the Centre for Health Economics,Programme,
Department of Health,Department of Health,27/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",OXFORD UNIVERSITY,PUBLIC,OX1 2JD,RTHP0/20083265," 33,000.00 ",,Funding for 11/12 for the Centre for Health Economics,Programme,
Department of Health,Department of Health,27/02/2012,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 33,489.46 ",,"Richmond House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - Bldg Maintenance - £33,489.46 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 33,993.20 ",,"Skipton House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 Bldg Maintenance - £33,993.20 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 42,698.42 ",,"Richmond House - DH - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - Security - £42,698.42 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Outsourcing Contract,COMMISSIONING,APPOINTMENTS COMMISSION,PUBLIC,LS1 4PL,120002189," 44,041.20 ",,Administrative Support for the recruitment of Commissioning Board Chair & Non-Executives,Admin,
Department of Health,Department of Health,27/02/2012,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223393RI," 50,048.95 ",,"DH Accomm. Central Servs - Year 2 FM Contract - Monthly Fixed Fees 1st Dec 2011 - 31st Mar 2012 - Bldg Maintenance - £50,048.95 mthly",Admin,
Department of Health,Department of Health,27/02/2012,Other Admin expenditure,CDD CORPORATE DEVELOPMENT,CABINET OFFICE,PUBLIC,FY5 3TA,250003641," 154,203.00 ",,Charges for funding the Office of the Parliamentary Counsel 2010-12,Admin,
Department of Health,Department of Health,27/02/2012,Policy Payments,Health Improvement & Protection,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,2893311," 820,000.00 ",,DWP recharges for OHT and PBHT costs to 31/03/2012,Programme,
Department of Health,Department of Health,27/02/2012,Additions-PDC permanent,NHS FC,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,HAFS-12520," 1,271,000.00 ",,,Other,
Department of Health,Department of Health,27/02/2012,Additions-PDC temporary,NHS FC,EAST CHESHIRE NHS TRUST,PUBLIC,SK10 3BL,HAFS-12521," 1,300,000.00 ",,,Other,
Department of Health,Department of Health,27/02/2012,Additions-PDC permanent,NHS FC,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,PUBLIC,N18 1QX,HAFS-12522," 1,500,000.00 ",,,Other,
Department of Health,Department of Health,27/02/2012,Additions FT Financing Facility Loans,NHS FC,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,TQ2 7AN,HAFS-12519," 1,536,000.00 ",,,Other,
Department of Health,Department of Health,27/02/2012,Additions-PDC permanent,"PSF POLICY, STRATEGY & FINANCE",MID STAFFORDSHIRE NHS FOUNDATION TRUST,PUBLIC,ST16 3SA,HAFS-12516," 2,400,000.00 ",,,Other,
Department of Health,Department of Health,27/02/2012,Additions-PDC permanent,NHS FC,SOUTH LONDON HEALTHCARE NHS TRUST,PUBLIC,DA14 6LT,HAFS-12517," 2,500,000.00 ",,,Other,
Department of Health,Department of Health,27/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",UKSH SOUTH WEST LTD,LARGE,BS32 4TD,UKSHSW/163," 2,831,281.58 ",,Clinical services under E01 AGW contract,Programme,
Department of Health,Department of Health,27/02/2012,Additions-PDC permanent,NHS FC,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,HAFS-12525," 3,584,000.00 ",,,Other,
Department of Health,Department of Health,27/02/2012,Additions-PDC permanent,NHS FC,BARTS AND THE LONDON NHS TRUST,PUBLIC,E1 8PR,HAFS-12515," 4,298,000.00 ",,,Other,
Department of Health,Department of Health,27/02/2012,Additions FT Financing Facility Loans,NHS FC,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,B1 3RB,HAFS-12518," 7,046,000.00 ",,,Other,
Department of Health,Department of Health,27/02/2012,Additions-PDC temporary,NHS FC,NORTH WEST LONDON HOSPITALS NHS TRUST,PUBLIC,HA1 3UJ,HAFS-12523," 9,700,000.00 ",,,Other,
Department of Health,Department of Health,27/02/2012,Additions-PDC permanent,NHS FC,SOUTH LONDON HEALTHCARE NHS TRUST,PUBLIC,DA14 6LT,HAFS-12524," 23,000,000.00 ",,,Other,
Department of Health,Department of Health,28/02/2012,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201276428," 21,935.23 ",,Deployment of OIS Services to Tablet Devices  - please see WAF attached,Admin,
Department of Health,Department of Health,28/02/2012,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,,,14481657," 21,970.67 ",,,,
Department of Health,Department of Health,28/02/2012,Service charge,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,CHAPS28/2/12.," 22,369.08 ",,,Programme,
Department of Health,Department of Health,28/02/2012,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,,,14448951," 22,470.00 ",,,,
Department of Health,Department of Health,28/02/2012,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00223390RI," 27,080.58 ",,"CQC Buildings - Provision of Facilities Management Services @ £27,080.58 mthly (01/09/2011 - 31/03/2012)",Admin,
Department of Health,Department of Health,28/02/2012,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201276411," 31,544.00 ",,Dynamic Desktop Phase 2 Deployment Project.,Admin,
Department of Health,Department of Health,28/02/2012,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,,,14473219," 34,000.20 ",,,,
Department of Health,Department of Health,28/02/2012,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,,,14473219," 46,496.00 ",,,,
Department of Health,Department of Health,28/02/2012,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201276432," 50,000.00 ",,Interim Cover for Exit Team,Admin,
Department of Health,Department of Health,28/02/2012,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201276432," 59,882.75 ",,PO 490537 - Balance of  cover for Exit Team,Admin,
Department of Health,Department of Health,28/02/2012,Contr Other External,INFORMATICS,CABLE & WIRELESS UK,,,14507910," 62,086.25 ",,,,
Department of Health,Department of Health,28/02/2012,Policy Payments,SOCIAL CARE,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,PUBLIC,SW1E 6QP,N0009603," 71,544.24 ",,CJD CARE FUND - CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST - INVOICE N0007707,Programme,
Department of Health,Department of Health,28/02/2012,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739645," 112,832.70 ",,Quit Kit Campaign Search media buying costs - Jan-Mar 2012. ,Programme,
Department of Health,Department of Health,28/02/2012,Contr Other External,INFORMATICS,CABLE & WIRELESS UK,,,14497308," 161,808.00 ",,,,
Department of Health,Department of Health,28/02/2012,Addition Clearing - SW LIC,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,CHAPS28/2/12," 210,024.11 ",,Capital: FY 2011/12 - Capital Budget Requirements,Programme,
Department of Health,Department of Health,28/02/2012,Contr Other External,INFORMATICS,CABLE & WIRELESS UK,,,14497306," 223,583.75 ",,,,
Department of Health,Department of Health,28/02/2012,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739642," 473,207.49 ",, Tobacco Control Quit Kity 3 TV Media Spend Feb 2012. ,Programme,
Department of Health,Department of Health,28/02/2012,Grants to non profit institutions (CUR),SOCIAL CARE,CHILD MIGRANT TRUST,VCS,NG2 7PL,ERS-453917-56061," 474,000.00 ",,2010/064  Child Migrant Trust - project: 2010/064 Child Migrant Trust - Project: Service and Infrastructure development grant,Programme,
Department of Health,Department of Health,28/02/2012,IT minor costs non capital,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201275933," 643,959.13 ",,Baseline Charge CSC provision of IT services,Admin,
Department of Health,Department of Health,28/02/2012,Service charge,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,CHAPS28/2/12," 1,306,012.11 ",,Revenue: FY 2011/12 Revenue Budget Requirements ( April to Sept 11),Programme,
Department of Health,Department of Health,28/02/2012,Service charge,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,CHAPS28/2/12," 1,691,604.73 ",,Revenue:  FY 2011/12 - Revenue Budget Requirements,Programme,
Department of Health,Department of Health,28/02/2012,Service charge,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,CHAPS28/2/12," 5,321,810.72 ",,Revenue: FY 2011/12 - Revenue Budget Requirements,Programme,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501, 161.32 ,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501, 340.66 ,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501, 570.10 ,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501, 821.32 ,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501, 957.00 ,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 1,397.82 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 1,508.00 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 1,541.31 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 1,566.85 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 1,728.00 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 1,851.00 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 2,141.26 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 2,674.06 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 3,084.62 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 3,619.42 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,ABERDEEN UNIVERSITY OF,PUBLIC,AB24 3FX,ERS-453926-56089," 5,916.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 6,081.00 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 6,551.99 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 6,861.74 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 7,998.97 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,BIRMINGHAM UNIVERSITY OF,PUBLIC,B15 2TT,ERS-453929-56091," 9,691.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,ST GEORGES HOSPITAL MEDICAL SCHOOL,PUBLIC,SW17 0RE,ERS-453957-56107," 10,278.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 11,238.55 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,BIRMINGHAM UNIVERSITY OF,PUBLIC,B15 2TT,ERS-453929-56091," 11,250.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,BRISTOL UNIVERSITY OF,PUBLIC,BS8 1TH,ERS-453930-56092," 11,326.80 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 11,868.69 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,BRISTOL UNIVERSITY OF,PUBLIC,BS8 1TH,ERS-453930-56092," 12,447.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Contractor/Staff Substitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6607501," 12,453.68 ",,DH Internal Audit review work,Admin,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,SWANSEA UNIVERSITY,PUBLIC,SA2 8PP,ERS-453960-56110," 12,547.00 ",,Research Project,Programme,
Department of Health,Department of Health,29/02/2012,Research & development,Research & Development,YORK UNIVERSITY OF,PUBLIC,YO10 5DD,ERS-453966-56112," 13,358.00 ",,Research Project,Programme,
