Departmental Family,Departmental Entity,Date,Expence Type,Supplier,Transaction Number, Amount ,PO Line Description,Supplier site postcode,Supplier Type,Contract Number,Project Code,Expence Type
,,27/01/2016,Research & development,SOUTHAMPTON UNIVERSITY OF,ERS-550192-115951," 67,704 ",HTA Commissioned Research,SO17 1BJ,PUBLIC,,,
,,27/01/2016,Research & development,MEDICAL RESEARCH COUNCIL MRC,ERS-550191-115950," 43,418 ",UKCRC Translational Infection Research Initiative,SN2 1FF,PUBLIC,,,
,,27/01/2016,Research & development,BRISTOL UNIVERSITY OF,ERS-550190-115943," 32,131 ",PROJECTS,BS8 1TH,PUBLIC,,,
,,27/01/2016,Research & development,MANCHESTER UNIVERSITY OF,ERS-550188-115948," 36,551 ",PROJECTS,M13 9PL,PUBLIC,,,
,,27/01/2016,Research & development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-550185-115946," 201,159 ",PROJECTS,WC1E 7HT,PUBLIC,,,
,,28/01/2016,Delivery of NHS Transaction related operational efficiency,PENNINE ACUTE HOSPITALS NHS TRUST,126325," 2,500,000 ",Support to Pennine Acute Hospitals NHS Trust for the Provision of Health Services,OL1 2PN,PUBLIC,,,
,,28/01/2016,Delivery of NHS Transaction related operational efficiency,THE ROYAL WOLVERHAMPTON NHS TRUST,188902," 2,500,000 ",Support to The Royal Wolverhampton Hospitals NHS Trust for the Provision of Health Services,WV10 0QP,PUBLIC,,,
,,28/01/2016,Delivery of NHS Transaction related operational efficiency,LEEDS TEACHING HOSPITAL NHS TRUST,1410036123," 6,000,000 ",Support to Leeds Teaching Hospitals NHS Trust for the Provision of Health Services,LS9 7TF,PUBLIC,,,
,,28/01/2016,Delivery of NHS Transaction related operational efficiency,THE LEEDS COMMUNITY HEALTHCARE NHS TRUST RY6,24876952," 500,000 ",Support to The Leeds Community Healthcare NHS Trust for the Provision of Health Services,WF3 1WE,PUBLIC,,,
,,28/01/2016,Delivery of NHS Transaction related operational efficiency,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8222926," 6,000,000 ",Support to Oxford University Hospitals NHS Trust for the Provision of Health Services,OX3 7HE,PUBLIC,,,
,,28/01/2016,Delivery of NHS Transaction related operational efficiency,EAST LANCASHIRE HOSPITALS NHS TRUST,E0076863," 18,300,000 ",Support to East Lancashire Hospitals NHS Trust for the Provision of Health Services,BB3 0FG,PUBLIC,,,
,,28/01/2016,Delivery of NHS Transaction related operational efficiency,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,H0127540," 3,400,000 ",Support to Imperial College Healthcare NHS Trust for the Provision of Health Services,W12 0BJ,PUBLIC,,,
,,28/01/2016,Research & development,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ERS-550293-116003," 38,750 ",Research for Patient Benefit,NW1 7QY,PUBLIC,,,
,,28/01/2016,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-550287-116002," 108,205 ",Programme Grants for NHS Trusts,LS9 7TF,PUBLIC,,,
,,28/01/2016,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-550286-116001," 77,810 ",Programme Grants for NHS Trusts,LS9 7TF,PUBLIC,,,
,,28/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-550274-115961," 27,007 ",HTA Commissioned Research,BS99 1YF,PUBLIC,,,
,,28/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-550274-115961," 2,761 ",HTA Commissioned Research,BS99 1YF,PUBLIC,,,
,,28/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-550274-115961," 7,280 ",HTA Commissioned Research,BS99 1YF,PUBLIC,,,
,,28/01/2016,Research & development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-550271-115972," 96,720 ",EME - ( NETSCC ),B15 2PR,PUBLIC,,,
,,28/01/2016,Research & development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-550271-115972," 16,667 ",Experimental Cancer Medicine Centres,B15 2PR,PUBLIC,,,
,,28/01/2016,Research & development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-550269-115973," 11,824 ",Research for Patient Benefit,NW1 2BX,PUBLIC,,,
,,28/01/2016,Research & development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-550269-115973," 23,393 ",Experimental Cancer Medicine Centres,NW1 2BX,PUBLIC,,,
,,28/01/2016,Research & development,THE CHRISTIE NHS FOUNDATION TRUST,ERS-550266-115962," 10,000 ",Research for Patient Benefit,M20 4BX,PUBLIC,,,
,,28/01/2016,Research & development,THE CHRISTIE NHS FOUNDATION TRUST,ERS-550266-115962," 20,833 ",Experimental Cancer Medicine Centres,M20 4BX,PUBLIC,,,
,,28/01/2016,Research & development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-550246-115964," 20,833 ",Experimental Cancer Medicine Centres,CB2 2QQ,PUBLIC,,,
,,28/01/2016,Research & development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-550246-115964," 16,360 ",HTA Customer Priority Research,CB2 2QQ,PUBLIC,,,
,,28/01/2016,Research & development,BELFAST HEALTH AND SOCIAL CARE TRUST,ERS-550244-115992," 38,514 ",Commissioned EME,BT9 7AB,PUBLIC,,,
,,28/01/2016,Research & development,UNIVERSITY COLLEGE LONDON UCL,ERS-550270-115987," 6,667 ",HTA Commissioned Research,WC1E 6BT,PUBLIC,,,
,,28/01/2016,Research & development,UNIVERSITY COLLEGE LONDON UCL,ERS-550270-115987," 65,000 ",Invention for Innovation,WC1E 6BT,PUBLIC,,,
,,28/01/2016,Research & development,OXFORD UNIVERSITY OF,ERS-550262-115989," 52,459 ",NIHR Public Health Research ( NETSCC ),OX1 2XN,PUBLIC,,,
,,28/01/2016,Research & development,OXFORD UNIVERSITY OF,ERS-550262-115989," 109,832 ",HS & DR,OX1 2XN,PUBLIC,,,
,,28/01/2016,Research & development,OXFORD UNIVERSITY OF,ERS-550262-115989," 15,000 ",NIHR Senior Investigator's Funding,OX1 2XN,PUBLIC,,,
,,28/01/2016,Research & development,OXFORD UNIVERSITY OF,ERS-550262-115989," 11,350 ",HTA Commissioned Research,OX1 2XN,PUBLIC,,,
,,28/01/2016,Research & development,OXFORD UNIVERSITY OF,ERS-550262-115989," 51,245 ",Cancer - Prostate,OX1 2XN,PUBLIC,,,
,,28/01/2016,Research & development,NEWCASTLE UNIVERSITY,ERS-550259-115988," 31,098 ",HTA Commissioned Research,NE1 7RU,PUBLIC,,,
,,28/01/2016,Research & development,LEEDS UNIVERSITY OF,ERS-550257-115986," 162,814 ",Consumers - Involve,LS2 9JT,PUBLIC,,,
,,28/01/2016,Research & development,LEEDS UNIVERSITY OF,ERS-550257-115986," 9,188 ",HTA Commissioned Research,LS2 9JT,PUBLIC,,,
,,28/01/2016,Research & development,IMPERIAL COLLEGE LONDON,ERS-550254-115985," 48,768 ",HTA Commissioned Research,SW7 2AZ,PUBLIC,,,
,,28/01/2016,Research & development,IMPERIAL COLLEGE LONDON,ERS-550254-115985," 10,958 ",HTA Researcher Lead,SW7 2AZ,PUBLIC,,,
,,28/01/2016,Research & development,DUNDEE UNIVERSITY OF,ERS-550249-115983," 25,562 ",HTA Commissioned Research,DD1 4HN,PUBLIC,,,
,,28/01/2016,Research & development,CAMBRIDGE UNIVERSITY OF,ERS-550247-115982," 4,262 ",HTA Researcher Lead,CB2 1TN,PUBLIC,,,
,,28/01/2016,Research & development,CAMBRIDGE UNIVERSITY OF,ERS-550247-115982," 35,087 ",Cancer - Prostate,CB2 1TN,PUBLIC,,,
,,28/01/2016,Research & development,BRISTOL UNIVERSITY OF,ERS-550245-115981," 55,495 ",Cancer - Prostate,BS8 1TH,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,175941," 4,000,000 ",Support to United Lincolnshire Hospitals NHS Trust for the Provision of Health Services,LN2 5QY,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,231265," 9,400,000 ",Support to King?s College Hospital NHS Foundation Trust for the Provision of Health Services,SE5 9RS,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,1000043148," 11,450,000 ",Support to University Hospitals Coventry and Warwickshire NHS Trust for the Provision of Health Services,CV2 2DX,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,10105938," 2,000,000 ",Support to Shrewsbury and Telford Hospitals NHS Trust for the Provision of Health Services,TF6 6TF,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,WEST LONDON MENTAL HEALTH NHS TRUST,1100048031," 600,000 ",Support to West London Mental Health NHS Trust for the Provision of Health Services,UB1 3EU,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,KENT & MEDWAY NHS & SOCIAL CARE PARTNERSHIP TRUST,13597460," 2,825,000 ",Support to Kent and Medway NHS and Social Care Partnership NHS Trust for the Provision of Health Services,WF3 1WE,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,835824," 1,500,000 ",Support to East of England Ambulance Service NHS Trust for the Provision of Health Services,MK41 ORG,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,WALSALL HEALTHCARE NATIONAL HEALTH SERVICE TRUST,C039757," 2,400,000 ",Support to Walsall Healthcare NHS Trust for the Provision of Health Services,WS2 9PS,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,LONDON AMBULANCE SERVICE NHS TRUST,L0010699," 2,500,000 ",Support to London Ambulance Service NHS Trust for the Provision of Health Services,SE1 8SD,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,MID ESSEX HOSPITAL SERVICES NHS TRUST,ME2000093196," 3,809,000 ",Support to Mid Essex Hospital Services NHS Trust for the Provision of Health Services,CM8 2TL,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,SOUTH WEST LONDON AND ST GEORGES MENTAL HEALTH NHS TRUST,P0055839," 3,800,000 ",Support to South West London & St George's Mental Health NHS Trust for the Provision of Health Services,SW17 7DJ,PUBLIC,,,
,,29/01/2016,Delivery of NHS Transaction related operational efficiency,GEORGE ELIOT HOSPITAL NHS TRUST,T0121048," 3,500,000 ",Support to George Eliot Hospital NHS Trust for the Provision of Health Services,CV10 7DJ,PUBLIC,,,
,,29/01/2016,"SFVS - product & distribution cost, during October 2015",Fresh Direct (UK) Ltd,28570431," 71,961 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during October 2015",Fresh Direct (UK) Ltd,28570432," 30,783 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during December 2015",GW Price Ltd,339148," 38,703 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during December 2015",GW Price Ltd,339154," 25,017 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during December 2015",GW Price Ltd,339149," 47,406 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during December 2015",GW Price Ltd,339143," 28,022 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during December 2015",GW Price Ltd,339155," 30,216 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053266," 33,840 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053268," 110,972 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053270," 83,218 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during November 2015","Minor, Weir & Willis Ltd",SIN0053271," 54,197 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during December 2015",Redbridge Produce & Flowers (Bristol),B15120121933," 25,694 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during November & all December 2015",Total Produce Plc (Hereford),H15111633916," 49,349 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during November & all December 2015",Total Produce Plc (Hereford),H15111633937," 48,653 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during November & all December 2015",Total Produce Plc (Hereford),H15111633885," 51,469 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during part November & all December 2015",Total Produce Plc (Wigan),W15111534350," 32,807 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during part November & all December 2015",Total Produce Plc (Wigan),W15111534896," 28,825 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during part November & all December 2015",Total Produce Plc (Wigan),W15111534895," 29,992 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during part November & all December 2015",Total Produce Plc (Wigan),W15111534352," 60,405 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during part November & all December 2015",Total Produce Plc (Wigan),W15111534353," 28,945 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during part November & all December 2015",Total Produce Plc (Wigan),W15111534355," 27,626 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during part November & all December 2015",Total Produce Plc (Wigan),W15111534356," 27,301 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during part November & all December 2015",Total Produce Plc (Wigan),W15111534357," 26,205 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during part November & all December 2015",Total Produce Plc (Wigan),W15111534358," 25,587 ",,,,,,
,,29/01/2016,"SFVS - product & distribution cost, during part November & all December 2015",Total Produce Plc (Wigan),W15111534359," 29,082 ",,,,,,
,,29/01/2016,Product & Distribution charges ref AG Axton for September 2015,"Minor, Weir & Willis Ltd",SIN0053533," 29,700 ",,,,,,
,,29/01/2016,Product & Distribution charges ref AG Axton for September 2015,"Minor, Weir & Willis Ltd",SIN0053531," 30,064 ",,,,,,
,,29/01/2016,Product & Distribution charges ref AG Axton for September 2015,SH Pratt (Bananas) Ltd,11032," 35,704 ",,,,,,
,,29/01/2016,Revenue Grants to non-profit institutions,OLDER PEOPLES ADVOCACY ALL(UK),ERS-550389-116041," 39,490 ",Older People's Cancer Voices 54081356,ST4 7JL,VCS,,,
,,29/01/2016,Revenue Grants to non-profit institutions,3VA,ERS-550388-116021," 77,559 ",2014-15 Health and Well Being Visits Project 54152506,BN21 1DG,LARGE,,,
