Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,THE LONDON BOROUGH OF HACKNEY,4000060304,"5,039,144.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,4000060305,"19,242.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,THE ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,4000060305,"1,691,533.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE ROYAL BOROUGH OF WINDSOR & MAIDENHEAD,4000060306,"20,667.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,THE ROYAL BOROUGH OF WINDSOR & MAIDENHEAD,4000060306,"1,214,913.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THURROCK COUNCIL,4000060307,"32,667.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,THURROCK COUNCIL,4000060307,"1,848,865.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TORBAY COUNCIL,4000060308,"18,970.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,TORBAY COUNCIL,4000060308,"1,508,726.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TRAFFORD MB COUNCIL,4000060309,"30,697.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,TRAFFORD MB COUNCIL,4000060309,"2,178,715.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WAKEFIELD MDC,4000060310,"52,364.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,WAKEFIELD MDC,4000060310,"3,662,408.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WALSALL MBC,4000060311,"35,546.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,WALSALL MBC,4000060311,"3,704,720.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WARRINGTON BOROUGH COUNCIL,4000060312,"33,000.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,WARRINGTON BOROUGH COUNCIL,4000060312,"2,087,351.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WARWICKSHIRE COUNTY COUNCIL,4000060313,"76,091.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,WARWICKSHIRE COUNTY COUNCIL,4000060313,"4,352,960.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WEST BERKSHIRE COUNCIL,4000060314,"22,849.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,WEST BERKSHIRE COUNCIL,4000060314,"1,363,386.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WEST SUSSEX COUNTY COUNCIL,4000060315,"109,849.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,WEST SUSSEX COUNTY COUNCIL,4000060315,"5,746,823.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WIGAN MBC,4000060316,"53,667.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,WIGAN MBC,4000060316,"3,495,904.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WILTSHIRE COUNCIL,4000060317,"62,122.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,WILTSHIRE COUNCIL,4000060317,"3,666,042.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WOKINGHAM BOROUGH COUNCIL,4000060318,"24,818.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,WOKINGHAM BOROUGH COUNCIL,4000060318,"1,210,364.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WOLVERHAMPTON CITY COUNCIL,4000060319,"37,303.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,WOLVERHAMPTON CITY COUNCIL,4000060319,"3,708,952.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WORCESTERSHIRE COUNTY COUNCIL,4000060320,"85,940.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,WORCESTERSHIRE COUNTY COUNCIL,4000060320,"4,698,526.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,YORK CITY COUNCIL,4000060321,"21,879.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,YORK CITY COUNCIL,4000060321,"1,594,746.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Families Group,ASIAN FAMILY COUNSELLING SERVICE,4000060352,"25,000.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Families Group,BARNARDOS,4000060354,"44,173.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,DfE Programme Costs,Children Young People and Families Safeguarding Group,BEAT BULLYING LTD,4000060355,"33,932.00",This payment was in relation to a contract for the Extension of the Cyber mentors Programme. This is a peer mentoring project and contributes to the aim of improving the safety of children online. ,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,DERBY CITY COUNCIL,4000060365,"959,813.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PLYMOUTH CITY COUNCIL,4000060379,"1,270,039.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Supporting Children and Young People Group 2,PRINCES TRUST VOLUNTEERS PROGRAMME,4000060380,"140,826.20","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Families Group,RELATE,4000060381,"551,673.10","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SANDWELL MBC,4000060383,"218,018.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SANDWELL MBC,4000060383,"79,625.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SANDWELL MBC,4000060383,"29,787.00",Current grant for Sure Start payments to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SANDWELL MBC,4000060383,"44,094.00",Current grant for Sure Start payments to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SANDWELL MBC,4000060383,"2,355,457.00",Current grant for Sure Start payments to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SANDWELL MBC,4000060383,"952,460.00",Current grant for Sure Start payments to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SANDWELL MBC,4000060383,"25,000.00",Current grant for Sure Start payments to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,26/08/2011,DfE Programme Costs,Families Group,THE FOSTERING NETWORK,4000060433,"57,537.98","Project to increase the number of quality foster carers to meet children’s needs by ensuring that local authorities experiencing difficulties recruiting foster carers, are supported to improve.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,26/08/2011,Current Grants,Families Group,VOICE,4000060436,"25,635.25","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,30/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,4CHILDREN,4000060458,"97,500.00",Current grant to third sector organisation / not for profit organisation,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,30/08/2011,Current Grants,Families Group,MARRIAGE CARE,4000060472,"54,354.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,31/08/2011,Current Grants,Families Group,TAVISTOCK CENTRE FOR COUPLE RELATIONSHIPS,4000060672,"54,333.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,10/08/2011,DfE Programme Costs,Curriculum and Behaviour Group,MATHEMATICS IN EDUCATION & INDUSTRY,1000414,"391,898.00",For the management on the Department’s behalf of the Further Mathematics Support Programme to promote the take-up of further maths. ,Voluntary and Community Sector
