Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Expenditure Description,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,"Strategic Analysis, Research and Policy Impact Group",EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,1091.46
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2012,ICT,"Strategic Analysis, Research and Policy Impact Group",ATKINS LTD,Commercial,Costs related to the provision of IT costs,4000074192,129738.94
Department for Education,DEPARTMENT FOR EDUCATION,01/03/2012,ICT,"Strategic Analysis, Research and Policy Impact Group",CAPGEMINI UK PLC,Commercial,Costs related to the provision of IT costs,4000073207,13229.4
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,ICT,"Strategic Analysis, Research and Policy Impact Group",CAPGEMINI UK PLC,Commercial,Costs related to the provision of IT costs,4000074385,33766.66
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,ICT,"Strategic Analysis, Research and Policy Impact Group",CAPGEMINI UK PLC,Commercial,Costs related to the provision of IT costs,4000074517,10676.72
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,"Strategic Analysis, Research and Policy Impact Group",CAPGEMINI UK PLC,Commercial,Costs related to the provision of IT costs,4000075175,102059.47
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,"Strategic Analysis, Research and Policy Impact Group",PROLOG,Commercial,Publications and related services,4000074430,9.22
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,ICT,"Strategic Analysis, Research and Policy Impact Group",SOFTWARE FOR DATA ANALYSIS LTD,Commercial,Costs related to the provision of IT services,4000073764,105255.24
Department for Education,DEPARTMENT FOR EDUCATION,20/03/2012,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",IEA,Public Sector,"Costs related to research, survey data analysis that will inform policy decision making",3000074,27069.25
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2012,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",INSTITUTE OF EDUCATION,Public Sector,Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation,4000074208,108109
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",ISOS PARTNERSHIP LLP,Commercial,"Costs related to research, survey data analysis that will inform policy decision making",4000075647,38500
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",NFER TRADING LIMITED INV T,Commercial,"Costs related to research, survey data analysis that will inform policy decision making",4000074424,17000
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",NFER TRADING LIMITED INV T,Commercial,"Costs related to research, survey data analysis that will inform policy decision making",4000075484,127832.48
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",NFER TRADING LIMITED INV T,Commercial,"Costs related to research, survey data analysis that will inform policy decision making",4000075989,135240
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",OECD,Public Sector,"Costs related to research, survey data analysis that will inform policy decision making",3000072,239936.3
Department for Education,DEPARTMENT FOR EDUCATION,20/03/2012,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",OECD,Public Sector,"Costs related to research, survey data analysis that will inform policy decision making",3000076,49802.15
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,"Strategic Analysis, Research and Policy Impact Group",PROLOG,Commercial,Publications and related services,4000074430,105.33
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2012,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",RM DATA SOLUTIONS,Commercial,"Costs related to research, survey data analysis that will inform policy decision making",4000076182,52547
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Professional Services Other,"Strategic Analysis, Research and Policy Impact Group",UK NARIC ECCTIS,Public Sector,"Costs related to research, survey data analysis that will inform policy decision making",4000075698,38580
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,ICT,Chief Information Officer Group,TRUSTMARQUE SOLUTIONS LTD,Commercial,Costs related to the provision of off the shelf software including ad hoc low value software licences,4000073792,47492.64
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Chief Information Officer Group,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,1296.55
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Public Sector,Costs related to advisory shared corporate accounting services,4000073694,56163
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Public Sector,Costs related to advisory shared corporate payroll services,4000073694,129924
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,Professional Services Other,Chief Information Officer Group,DEPARTMENT FOR WORK & PENSIONS,Public Sector,Costs related to advisory shared corporate purchase / procurement services,4000073694,62087
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,ICT,Chief Information Officer Group,CAPGEMINI UK PLC,Commercial,Costs related to the provision of IT services,4000074517,113199.88
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,ICT,Chief Information Officer Group,PHOENIX SOFTWARE LTD,Commercial,Costs related to the provision of off the shelf software including ad hoc low value software licences,4000075489,39984
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,ICT,Chief Information Officer Group,SOFTWARE BOX LTD,Commercial,Costs related to the provision of off the shelf software including ad hoc low value software licences,4000073763,45024
Department for Education,DEPARTMENT FOR EDUCATION,20/03/2012,ICT,Chief Information Officer Group,THE DANWOOD GROUP LTD,Commercial,"Costs related to the provision of computer equipment and components, maintenance and support",4000074700,-673.34
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Chief Information Officer Group,BT,Commercial,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",4000075174,48362.14
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Chief Information Officer Group,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,1111.66
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,ICT,Chief Information Officer Group,BT GLOBAL SERVICES,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000073852,118420.21
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,ICT,Chief Information Officer Group,BT GLOBAL SERVICES,Commercial,Costs related to the maintenance support of video conferencing,4000073852,54274.19
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,ICT,Chief Information Officer Group,B2NET LTD,Commercial,"Costs related to the provision of computer equipment and components, maintenance and support",4000075967,357976.8
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,ICT,Chief Information Officer Group,MICROSOFT LTD,Commercial,Costs related to the provision of IT costs,4000073994,25375.2
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,ICT,Chief Information Officer Group,BT GLOBAL SERVICES,Commercial,Costs related to the provision of hardware maintenance and support of computer networks and systems,4000073852,76045.2
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Chief Information Officer Group,BT,Commercial,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",4000075174,2130
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,ICT,Chief Information Officer Group,BT GLOBAL SERVICES,Commercial,Costs related to the provision of hardware maintenance and support of computer networks and systems,4000073852,117658.18
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Professional Services Temporary Staff,Chief Information Officer Group,CAPITA RESOURCING LTD,Commercial,Costs related to temporary workers,4000073482,21507.56
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,Professional Services Temporary Staff,Chief Information Officer Group,CAPITA RESOURCING LTD,Commercial,Costs related to temporary workers,4000073853,3000
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2012,Professional Services Temporary Staff,Chief Information Officer Group,CAPITA RESOURCING LTD,Commercial,Costs related to temporary workers,4000076139,17723.96
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2012,ICT,Chief Information Officer Group,EDUSERV,Commercial,Costs related to the provision of IT costs,4000073386,29520
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,ICT,Chief Information Officer Group,EDUSERV,Commercial,Costs related to the provision of IT costs,4000074085,6480
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,ICT,Chief Information Officer Group,INSIGHT DIRECT UK LTD,Commercial,Costs related to the provision of IT costs,4000075645,69398.96
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,ICT,Chief Information Officer Group,SOFTWARE BOX LTD,Commercial,Costs related to the provision of off the shelf software including ad hoc low value software licences,4000073763,45636
Department for Education,DEPARTMENT FOR EDUCATION,15/03/2012,ICT,Chief Information Officer Group,SPECIALIST COMPUTER CENTRES PLC,Commercial,"Costs related to the provision of computer equipment and components, maintenance and support",4000074319,13994.4
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,ICT,Chief Information Officer Group,SPECIALIST COMPUTER CENTRES PLC,Commercial,"Costs related to the provision of computer equipment and components, maintenance and support",4000075997,5952
Department for Education,DEPARTMENT FOR EDUCATION,01/03/2012,ICT,Chief Information Officer Group,CAPGEMINI UK PLC,Commercial,Costs related to the provision of IT services,4000073207,17622
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,ICT,Chief Information Officer Group,CAPGEMINI UK PLC,Commercial,Costs related to the provision of IT services,4000074517,17700.99
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Professional Services Temporary Staff,Chief Information Officer Group,CAPITA RESOURCING LTD,Commercial,Costs related to temporary workers,4000073482,31858.02
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,Professional Services Temporary Staff,Chief Information Officer Group,CAPITA RESOURCING LTD,Commercial,Costs related to temporary workers,4000073853,16882.2
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2012,Professional Services Temporary Staff,Chief Information Officer Group,CAPITA RESOURCING LTD,Commercial,Costs related to temporary workers,4000076139,9082.2
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,ICT,Chief Information Officer Group,DELL CORPORATION LTD,Commercial,Tangible work in progress,4000073692,57004.8
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,ICT,Chief Information Officer Group,DELL CORPORATION LTD,Commercial,Tangible work in progress,4000074082,41196
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,ICT,Chief Information Officer Group,DELL CORPORATION LTD,Commercial,Tangible work in progress,4000074083,109658.88
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Chief Information Officer Group,DELL CORPORATION LTD,Commercial,Tangible work in progress,4000075185,55336.49
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,ICT,Chief Information Officer Group,INSIGHT DIRECT UK LTD,Commercial,Costs related to the purchase of software licences or licence maintenance exceeding 12 months,4000075645,85731.34
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Chief Information Officer Group,INSIGHT DIRECT UK LTD,Commercial,Tangible work in progress,4000075196,66684
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,ICT,Chief Information Officer Group,TRUSTMARQUE SOLUTIONS LTD,Commercial,Costs related to the purchase of software licences or licence maintenance exceeding 12 months,4000073921,69216
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,ICT,Chief Information Officer Group,TRUSTMARQUE SOLUTIONS LTD,Commercial,Costs related to the purchase of software licences or licence maintenance exceeding 12 months,4000074012,79816.2
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Chief Information Officer Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,69.91
