Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,05/05/2010,Payments made in advance,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,628681,276678
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of buildings and military equipment ,Defence Equipment & Support,ASPIRE DEFENCE LIMITED,631811,271084.2
Ministry of Defence,Ministry of Defence,24/05/2010,Food and clothing,Land Forces,AVENANCE PLC,638435,269102.4
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,641829,261294.8
Ministry of Defence,Ministry of Defence,26/05/2010,Externally delivered education and training.,Air Command,FORSVARETS MATERIELVERK,5000035553,260869.57
Ministry of Defence,Ministry of Defence,25/05/2010,Rent and rates,Defence Equipment & Support,TATUNG (U.K.) LTD,640319,259968.75
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of buildings and military equipment ,Land Forces,ASPIRE DEFENCE LIMITED,631811,259151.85
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Research,Programme Office,QINETIQ LIMITED,V - 9000123101 - 00081843,258300
Ministry of Defence,Ministry of Defence,18/05/2010,Food and clothing,Land Forces,COMPASS SERVICES (U.K.) LIMITED,635604,256552.25
Ministry of Defence,Ministry of Defence,14/05/2010,Externally delivered education and training.,Land Forces,ROYAL ARTILLERY CENTRE FOR PERSONAL DEVELOPMENT,634557,254318.94
Ministry of Defence,Ministry of Defence,28/05/2010,Payment of utilities,Land Forces,STADTWERKE BOEHMETAL GMBH,5000035768,251233.05
Ministry of Defence,Defence Support Group,26/05/2010,Equipment Support-Projects,Large Aircraft,OPCO LIMITED,10113655,250792.95
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES (SOUTH WEST)LIMITED,628675,250091.37
Ministry of Defence,Ministry of Defence,21/05/2010,Property leases,Defence Estates,TRICOMM HOUSING (PORTSMOUTH) LIMITED,638318,246445.16
Ministry of Defence,Ministry of Defence,12/05/2010,Estate management,Defence Estates,INTERSERVE (DEFENCE) LTD,5000034807,244804.22
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of inventory and services ,Defence Equipment & Support,BLAKLEY ELECTRICS LTD,628598,244328.77
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Sub Contracted Work,Operations,LOCKHEED MARTIN UK INSYS LIMITED,V - 9000122948 - 00076584,244209.53
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Defence Equipment & Support,TEAM SIMOCO LIMITED,628449,244061.84
Ministry of Defence,Ministry of Defence,07/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,630962,243373.27
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,RUSHMOOR BOROUGH COUNCIL,638174,241869.24
Ministry of Defence,Ministry of Defence,10/05/2010,Food and clothing,Land Forces,NAVY ARMY AND AIR FORCE INSTITUES (THE),5000034655,240203.89
Ministry of Defence,Ministry of Defence,12/05/2010,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,633089,238786.45
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,RICHMONDSHIRE DISTRICT COUNCIL,638152,238146.27
Ministry of Defence,Ministry of Defence,27/05/2010,Medical treatment & stores and welfare services.,Central TLB,SOUTH STAFFORDSHIRE & SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,641766,237755
Ministry of Defence,Ministry of Defence,24/05/2010,Purchase of inventory and services ,Land Forces,FORBO FLOORING UK LIMITED,638579,237019.12
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Materials & Equipment,Programme Office,SELEX SENSORS & AIRBORNE SYSTEMS LIMITED,V - 9000122632 - 00075841,235796.65
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,IT Software,Infrastructure,ORACLE CORPORATION UK LIMITED,V - 9000122781 - 00080261,234292.43
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Equipment & Support,ANIXTER LIMITED,630122,234138.79
Ministry of Defence,Ministry of Defence,10/05/2010,Medical treatment & stores and welfare services.,Command Joint Operations,NATS (SERVICES) LIMITED,135202,232962.5
Ministry of Defence,Ministry of Defence,26/05/2010,Rent and rates,Central TLB,DEPARTMENT FOR WORK AND PENSIONS,640627,226756.5
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Defence Estates,German Construction Authority,AP2,226480.44
Ministry of Defence,Ministry of Defence,07/05/2010,Interest paid PFIs and finance leases,Defence Equipment & Support,FALCON SUPPORT SERVICES LIMITED,630380,226430.46
Ministry of Defence,Ministry of Defence,04/05/2010,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,628145,223482.66
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,217709.46
Ministry of Defence,Ministry of Defence,18/05/2010,Externally delivered education and training.,Navy Command,VT FLAGSHIP LTD,636124,216594
Ministry of Defence,Ministry of Defence,25/05/2010,Estate management,Air Command,SERCO LIMITED,640278,216119.15
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,216004.31
Ministry of Defence,Ministry of Defence,19/05/2010,Externally delivered education and training.,Land Forces,WILTSHIRE AND SOMERSET   COLLEGES PARTNERSHIP LIMITED,636874,215571.64
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,IT Software,Programme Office,ORACLE CORPORATION UK LIMITED,V - 9000122781 - 00079985,213728.15
Ministry of Defence,Ministry of Defence,05/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,629164,213668.99
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Capital Asset expenditure,Infrastructure,SERCO LIMITED,V - 9000123284 - 00082191,212241
Ministry of Defence,Ministry of Defence,13/05/2010,Design services and minor equipment purchases,Air Command,VT AEROSPACE LIMITED,633910,209520.92
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of buildings and military equipment ,Defence Estates,MORGAN ASHURST PLC,631371,209146.78
Ministry of Defence,Ministry of Defence,04/05/2010,Estate management,Navy Command,SODEXO LTD,628426,209080.26
Ministry of Defence,Ministry of Defence,13/05/2010,Medical treatment & stores and welfare services.,Air Command,SSAFA FAMILY HEALTH SERVICES,633823,208130.5
Ministry of Defence,Ministry of Defence,27/05/2010,IT and communication services,Central TLB,IBM UNITED KINGDOM LIMITED,641488,205690
Ministry of Defence,Ministry of Defence,17/05/2010,Property leases,Defence Estates,WESTERN CHALLENGE HOUSING ASSOCIATION LIMITED,635458,202781.84
Ministry of Defence,Ministry of Defence,06/05/2010,Payments made in advance,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,629403,202269.81
Ministry of Defence,Ministry of Defence,18/05/2010,Estates - Equipment/Works,Defence Estate - SSG,NORBAIN SD LTD                  ,PMT - 004,202013.77
Ministry of Defence,Ministry of Defence,06/05/2010,Purchase of buildings and military equipment ,Defence Equipment & Support,POYRY ENERGY LIMITED,629815,201558.8
Ministry of Defence,Ministry of Defence,27/05/2010,Payment of utilities,Land Forces,STADTWERKE DETMOLD GMBH,5000035670,200000
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Professional Services,Programme Office,MBDA UK LIMITED,V - 9000123166 - 00076833,199125
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,637493,197769.98
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Command Joint Operations,VEOLIA ES (UK) LIMITED,630040,197589.18
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of buildings and military equipment ,Defence Estates,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,628842,196343.67
Ministry of Defence,Ministry of Defence,20/05/2010,IT and communication services,Land Forces,QINETIQ LIMITED,637356,195404
Ministry of Defence,Ministry of Defence,20/05/2010,Medical treatment & stores and welfare services.,Central TLB,BMI HEALTHCARE LIMITED,636965,193700
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Sub Contracted Work,Operations,QINETIQ LIMITED,V - 9000123283 - 00081430,193078.47
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Defence Estates,INTERSERVE (DEFENCE) LTD,637148,192406.32
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Communications,Infrastructure,BT - DFTS,V - 9000122762 - 00080752,191831.51
Ministry of Defence,Ministry of Defence,19/05/2010,Insurance,Central TLB,GALLAGHER BASSETT INTERNATIONAL LTD.,636362,186150
Ministry of Defence,Ministry of Defence,07/05/2010,IT and communication services,Defence Equipment & Support,GREENROAD TECHNOLOGIES UK  LIMITED,630421,184462.32
Ministry of Defence,Ministry of Defence,07/05/2010,Fees for professional services,Land Forces,HAYMARKET NETWORK LIMITED,630435,184432.35
Ministry of Defence,Ministry of Defence,21/05/2010,Payment of utilities,Land Forces,STADTWERKE BIELEFELD GMBH,5000035335,184328.7
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Defence Estates,CARILLIONENTERPRISE LIMITED,636244,182983.44
Ministry of Defence,Ministry of Defence,13/05/2010,Estate management,Defence Estates,SERCO LIMITED,633785,182866.68
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Sub Contracted Work,Programme Office,DETICA LIMITED,V - 9000122748 - 00081047,179540.38
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of buildings and military equipment ,Central TLB,THE COLT CAR COMPANY LIMITED,636803,178766.19
Ministry of Defence,Ministry of Defence,21/05/2010,Food and clothing,Land Forces,AVENANCE PLC,637581,178695.74
Ministry of Defence,Ministry of Defence,18/05/2010,Estate management,Navy Command,SODEXO LTD,636035,174012.9
Ministry of Defence,Ministry of Defence,21/05/2010,Payment of utilities,Land Forces,STADTWERKE BOEHMETAL GMBH,5000035336,173872.65
Ministry of Defence,Met Office,14/05/2010,06 Accommodation,Chief Financial Officer,Scottish Hydro-Electric,292774,173154.83
Ministry of Defence,Ministry of Defence,18/05/2010,Fees for professional services,Central TLB,DEPARTMENT FOR WORK AND PENSIONS,635635,170068.02
Ministry of Defence,Ministry of Defence,26/05/2010,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,641089,169918.2
Ministry of Defence,Ministry of Defence,13/05/2010,Estate management,Air Command,SERCO LIMITED,633785,169906.12
Ministry of Defence,Ministry of Defence,13/05/2010,"Purchase of munitions, other inventory or fuel",Air Command,TOTAL UK LIMITED,633881,168591.22
Ministry of Defence,Ministry of Defence,27/05/2010,Medical treatment & stores and welfare services.,Central TLB,DEPARTMENT FOR WORK AND PENSIONS,641376,167015.5
Ministry of Defence,Ministry of Defence,24/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,638939,162105.52
Ministry of Defence,Ministry of Defence,11/05/2010,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,632241,160927.23
Ministry of Defence,Met Office,07/05/2010,Procurement Card,Other,Barclaycard Commercial,291873,159865.88
Ministry of Defence,Ministry of Defence,04/05/2010,Estate management,Air Command,SERCO LIMITED,628413,158807.66
Ministry of Defence,Ministry of Defence,07/05/2010,Fuel for military use,Land Forces,GB OILS LIMITED,630405,157559.51
Ministry of Defence,Ministry of Defence,27/05/2010,Transport hire charges,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,641860,157534.6
Ministry of Defence,Ministry of Defence,10/05/2010,Design services and minor equipment purchases,Land Forces,SERCO LIMITED,631618,156815.09
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Defence Estates,PRIDE (SERP) LTD,629820,156793
Ministry of Defence,Ministry of Defence,18/05/2010,Payment of utilities,Land Forces,STADTWERKE GUETERSLOH GMBH,5000035072,155937.91
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Equipment & Support,THISTLE GARMENTS LTD,630958,155141.27
Ministry of Defence,Ministry of Defence,13/05/2010,Estate management,Defence Estates,SCHAL INTERNATIONAL MANAGEMENT LIMITED,633775,154489.24
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,CARTUS LTD,639820,154351.2
Ministry of Defence,Ministry of Defence,19/05/2010,Externally delivered education and training.,Central TLB,COMMUNICAID GROUP LIMITED,636259,154343.85
Ministry of Defence,Ministry of Defence,18/05/2010,Design services and minor equipment purchases,Land Forces,SERCO LIMITED,636019,154133.85
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Capital Asset expenditure,Infrastructure,SERCO LIMITED,V - 9000122691 - 00080394,154094.98
Ministry of Defence,Ministry of Defence,10/05/2010,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,631671,153564.22
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Defence Estates,DEBUT SERVICES LIMITED,629396,153474.32
Ministry of Defence,Ministry of Defence,05/05/2010,Design services and minor equipment purchases,Air Command,BABCOCK SUPPORT SERVICES LIMITED,628564,153115.03
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Repairs & Maintenance,Infrastructure,TARMAC LIMITED,V - 9000123287 - 00080653,152452.2
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Repairs & Maintenance,Infrastructure,TARMAC LIMITED,V - 9000123105 - 00080654,152312.55
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,AGH SOFTWARE SOLUTIONS LIMITED,630101,150282.5
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Sub Contracted Research,Programme Office,SYSTEMS ENGINEERING & ASSESSMENT LIMITED,V - 9000122593 - 00080539,150000
Ministry of Defence,Ministry of Defence,10/05/2010,Payment of utilities,Land Forces,NEW ENERGIE GMBH,5000034657,148674.94
Ministry of Defence,Ministry of Defence,14/05/2010,Medical treatment & stores and welfare services.,Land Forces,WRVS SERVICES WELFARE LIMITED,634720,147281.9
Ministry of Defence,Ministry of Defence,26/05/2010,Purchase of buildings and military equipment ,Defence Estates,PRIDE (SERP) LTD,641004,145899.62
Ministry of Defence,Ministry of Defence,18/05/2010,Payment of utilities,Air Command,GB OILS LIMITED,635693,145494.53
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Energy & Utility,Infrastructure,PUBLIC SUB ACCOUNT HMG 4780,V - 9000122804 - 00080868,145108.64
Ministry of Defence,Ministry of Defence,24/05/2010,Food and clothing,Air Command,AVENANCE PLC,638435,143891.04
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Capital Asset expenditure,Infrastructure,SERCO LIMITED,V - 9000123122 - 00081636,143380
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Energy & Utility,Infrastructure,SCOTTISH HYDRO ELECTRIC GAS LIMITED,V - 9000123282 - 00081898,143351.83
Ministry of Defence,Ministry of Defence,13/05/2010,Fees for professional services,Defence Estates,ENTEC U K LTD,633417,142733.44
Ministry of Defence,Ministry of Defence,26/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,641159,140930.41
Ministry of Defence,Ministry of Defence,21/05/2010,Rent and rates,Defence Estates,VALE OF WHITE HORSE DISTRICT COUNCIL,638346,140045.68
Ministry of Defence,Ministry of Defence,18/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,636095,139509.95
Ministry of Defence,Ministry of Defence,05/05/2010,Estate management,Defence Estates,BALFOUR BEATTY GROUP LIMITED,628584,138565.93
Ministry of Defence,Ministry of Defence,12/05/2010,Fees for professional services,Air Command,METEOROLOGICAL OFFICE,632816,138501.27
Ministry of Defence,Ministry of Defence,21/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,638312,137307.75
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Professional Services,Operations,EXCHEM DEFENCE SYSTEMS LIMITED,V - 9000122854 - 00079802,136684
Ministry of Defence,Ministry of Defence,10/05/2010,Rent and rates,Air Command,COMPASS CONTRACT SERVICES (U K)LIMITED,631149,136184
